id_usuario,fecha_compra,hora_compra,importe,descuento,importe_final,tienda
,2025-07-01,11:23:25,238.92,0.0,238.92,Bilbao
55131780K,2025-07-25,14:11:52,249.22,21.77,227.45,Bilbao
76304634H,2025-12-23,20:36:38,449.94,0.0,449.94,Donostia
,2025-04-25,14:42:58,72.52,0.0,72.52,Donostia
41899066N,2025-05-05,09:57:13,22.94,0.0,22.94,Vitoria-Gasteiz
31363912P,2025-08-17,19:30:30,13.64,0.0,13.64,Bilbao
19941227C,2025-04-06,13:05:09,315.88,0.0,315.88,Donostia
34880772F,2025-09-02,19:03:20,37.51,1.59,35.92,Bilbao
,2025-12-23,17:53:56,384.75,0.0,384.75,Donostia
43768065P,2025-12-08,14:36:59,63.87,8.81,55.06,Bilbao
,2025-10-01,14:08:15,145.71,0.0,145.71,Vitoria-Gasteiz
,2025-07-18,08:49:04,119.35,0.0,119.35,Vitoria-Gasteiz
28655033T,2025-06-27,08:57:56,203.41,0.0,203.41,Vitoria-Gasteiz
71193190W,2025-07-15,20:21:57,465.2,0.0,465.2,Bilbao
,2025-03-20,17:13:24,26.69,0.0,26.69,Bilbao
95543481D,2025-10-08,14:25:19,264.53,0.0,264.53,Bilbao
54265639Z,2025-08-30,12:36:17,167.2,0.0,167.2,Bilbao
23563563V,2025-12-02,09:44:37,61.89,0.0,61.89,Bilbao
44359939T,2025-07-23,13:41:17,219.13,0.0,219.13,Donostia
,2025-01-31,20:41:30,313.96,0.0,313.96,Bilbao
35643039P,2025-08-20,09:16:19,80.48,5.51,74.97,Bilbao
13269963K,2025-02-13,18:45:46,145.18,8.58,136.6,Bilbao
,2025-06-27,08:34:37,380.81,0.0,380.81,Bilbao
63661558L,2025-01-30,20:27:35,244.41,0.0,244.41,Bilbao
44798892K,2025-10-11,19:16:39,173.52,0.0,173.52,Bilbao
12952585C,2025-03-21,10:30:01,26.62,2.24,24.38,Bilbao
50362752C,2025-06-23,19:28:30,444.51,0.0,444.51,Bilbao
75323079B,2025-02-02,15:54:09,325.53,0.0,325.53,Donostia
,2025-05-07,19:41:39,395.92,0.0,395.92,Vitoria-Gasteiz
,2025-08-06,17:28:17,457.21,0.0,457.21,Donostia
73511628V,2025-09-27,14:58:42,84.51,15.39,69.12,Donostia
62422432H,2025-08-22,14:43:49,238.19,0.0,238.19,Donostia
,2025-02-06,14:26:48,15.89,0.0,15.89,Donostia
,2025-06-17,13:18:51,113.35,0.0,113.35,Vitoria-Gasteiz
,2025-06-25,19:39:25,425.16,0.0,425.16,Vitoria-Gasteiz
,2025-03-25,19:43:35,464.04,0.0,464.04,Vitoria-Gasteiz
,2025-06-15,08:59:15,124.39,0.0,124.39,Vitoria-Gasteiz
36243183J,2025-03-03,13:28:19,132.12,0.0,132.12,Bilbao
36727605D,2025-06-27,20:22:51,488.14,0.0,488.14,Bilbao
,2025-07-02,14:46:37,392.03,0.0,392.03,Vitoria-Gasteiz
50567134R,2025-01-09,11:01:56,367.75,0.0,367.75,Vitoria-Gasteiz
70636949Q,2025-07-28,20:03:05,178.67,0.0,178.67,Donostia
63889824X,2025-09-26,14:20:41,372.51,0.0,372.51,Bilbao
,2025-09-10,20:09:06,107.05,0.0,107.05,Vitoria-Gasteiz
85658859M,2025-12-02,19:39:12,498.76,0.0,498.76,Donostia
,2025-02-22,12:35:33,470.78,0.0,470.78,Donostia
40347687Y,2025-08-10,19:16:29,99.29,0.0,99.29,Donostia
,2025-07-05,19:47:57,207.16,0.0,207.16,Donostia
10669721K,2025-04-05,14:27:09,496.31,0.0,496.31,Bilbao
64984475E,2025-12-30,20:23:31,82.31,0.0,82.31,Bilbao
,2025-08-08,17:24:15,203.98,0.0,203.98,Bilbao
,2025-12-05,17:29:29,443.51,0.0,443.51,Donostia
,2025-01-16,10:40:57,14.5,0.0,14.5,Donostia
14749051W,2025-05-18,19:22:00,368.89,0.0,368.89,Donostia
,2025-04-18,18:34:53,336.27,0.0,336.27,Donostia
,2025-02-19,20:00:03,437.43,0.0,437.43,Bilbao
46459589A,2025-01-12,17:33:20,486.12,90.31,395.81,Bilbao
18362788W,2025-01-25,19:26:34,10.12,0.0,10.12,Donostia
75502922V,2025-12-22,11:42:13,340.23,0.0,340.23,Donostia
21377975G,2025-09-01,11:33:34,195.48,0.0,195.48,Vitoria-Gasteiz
34467813J,2025-11-21,14:09:09,84.01,16.02,67.99,Vitoria-Gasteiz
,2025-05-14,15:14:19,250.37,0.0,250.37,Donostia
,2025-08-23,18:22:08,109.16,0.0,109.16,Donostia
58658565D,2025-11-21,19:45:31,366.53,0.0,366.53,Vitoria-Gasteiz
,2025-11-11,17:07:27,382.56,0.0,382.56,Vitoria-Gasteiz
,2025-02-12,11:55:11,44.81,0.0,44.81,Bilbao
97015954E,2025-05-30,19:35:41,385.67,0.0,385.67,Donostia
79729854D,2025-08-26,13:57:35,75.26,0.0,75.26,Bilbao
66967521P,2025-05-05,20:06:43,254.29,0.0,254.29,Bilbao
,2025-08-10,13:35:39,407.05,0.0,407.05,Vitoria-Gasteiz
69854953C,2025-06-29,15:42:11,97.91,0.0,97.91,Bilbao
85953071R,2025-03-22,09:05:32,369.9,0.0,369.9,Donostia
43243270G,2025-03-18,19:43:12,61.47,0.0,61.47,Vitoria-Gasteiz
,2025-04-09,19:33:05,449.44,0.0,449.44,Donostia
86353151L,2025-12-25,14:59:23,445.75,0.0,445.75,Bilbao
49285879F,2025-06-10,20:24:16,274.03,53.74,220.29,Donostia
31977992B,2025-01-31,10:58:23,100.04,0.0,100.04,Bilbao
,2025-08-05,20:01:57,131.47,0.0,131.47,Bilbao
43435336C,2025-03-28,17:01:59,56.06,0.0,56.06,Donostia
61820482R,2025-02-09,13:43:16,235.05,0.0,235.05,Bilbao
41843119R,2025-02-02,19:31:42,345.77,0.0,345.77,Vitoria-Gasteiz
44351057L,2025-06-16,12:43:48,363.02,0.0,363.02,Vitoria-Gasteiz
42867253Z,2025-03-10,20:48:34,214.33,0.0,214.33,Bilbao
,2025-11-18,12:37:06,209.64,0.0,209.64,Donostia
56321106V,2025-10-01,13:23:07,306.06,0.0,306.06,Bilbao
27175305T,2025-11-03,20:16:02,93.75,0.0,93.75,Vitoria-Gasteiz
,2025-10-24,20:18:45,441.87,0.0,441.87,Vitoria-Gasteiz
,2025-06-03,19:41:17,193.29,0.0,193.29,Bilbao
,2025-03-24,08:38:34,429.29,0.0,429.29,Vitoria-Gasteiz
87714433T,2025-12-14,20:16:22,45.3,0.0,45.3,Bilbao
29697304A,2025-10-13,16:31:47,336.68,0.0,336.68,Bilbao
,2025-02-20,14:16:36,325.8,0.0,325.8,Vitoria-Gasteiz
96985194J,2025-05-14,18:15:27,419.1,0.0,419.1,Bilbao
,2025-01-09,19:08:14,248.33,0.0,248.33,Vitoria-Gasteiz
,2025-03-30,14:05:10,106.3,0.0,106.3,Vitoria-Gasteiz
31196245B,2025-01-13,14:23:47,374.98,0.0,374.98,Vitoria-Gasteiz
65129982P,2025-09-28,12:19:35,249.06,0.0,249.06,Bilbao
78240171J,2025-11-10,14:07:08,267.56,0.0,267.56,Bilbao
83804908S,2025-06-28,14:16:30,491.68,0.0,491.68,Donostia
,2025-12-01,13:09:13,39.3,0.0,39.3,Donostia
92707152V,2025-06-05,12:30:31,402.71,0.0,402.71,Vitoria-Gasteiz
,2025-04-15,13:46:09,438.08,0.0,438.08,Vitoria-Gasteiz
,2025-12-03,14:07:23,306.58,0.0,306.58,Donostia
76103566Q,2025-08-27,15:29:01,254.87,0.0,254.87,Vitoria-Gasteiz
96713065C,2025-03-17,11:24:18,195.08,36.41,158.67,Bilbao
,2025-05-21,14:38:36,30.66,0.0,30.66,Vitoria-Gasteiz
93605896J,2025-11-26,16:28:13,126.88,0.0,126.88,Vitoria-Gasteiz
38818028P,2025-03-14,14:30:20,112.63,0.0,112.63,Bilbao
48374090F,2025-08-27,14:53:09,6.52,0.0,6.52,Bilbao
,2025-02-12,12:49:17,482.27,0.0,482.27,Bilbao
,2025-12-31,19:41:20,308.39,0.0,308.39,Donostia
41670713A,2025-08-18,20:24:42,199.01,0.0,199.01,Donostia
40969998Y,2025-08-30,19:17:37,490.77,0.0,490.77,Vitoria-Gasteiz
,2025-01-07,15:51:33,128.12,0.0,128.12,Bilbao
38687621B,2025-05-12,19:03:30,298.69,0.0,298.69,Vitoria-Gasteiz
,2025-04-08,14:30:31,424.02,0.0,424.02,Vitoria-Gasteiz
48545623Y,2025-10-07,19:57:52,88.8,0.0,88.8,Bilbao
74132383W,2025-12-25,15:56:25,259.26,0.0,259.26,Donostia
,2025-02-07,08:40:31,254.27,0.0,254.27,Vitoria-Gasteiz
,2025-06-09,14:50:04,381.55,0.0,381.55,Bilbao
,2025-09-20,17:15:33,260.92,0.0,260.92,Vitoria-Gasteiz
,2025-02-06,20:43:17,387.9,0.0,387.9,Vitoria-Gasteiz
11950826A,2025-01-01,20:51:31,157.12,0.0,157.12,Donostia
,2025-10-16,18:48:05,146.41,0.0,146.41,Vitoria-Gasteiz
68670438M,2025-02-04,18:30:53,349.33,0.0,349.33,Donostia
70396959P,2025-03-13,14:13:00,154.93,0.0,154.93,Bilbao
,2025-03-12,20:50:32,211.57,0.0,211.57,Vitoria-Gasteiz
,2025-07-13,18:13:19,406.6,0.0,406.6,Vitoria-Gasteiz
,2025-04-09,12:31:47,95.75,0.0,95.75,Bilbao
,2025-04-27,14:43:16,146.95,0.0,146.95,Donostia
93751201G,2025-04-08,08:35:08,187.28,37.13,150.15,Donostia
,2025-01-05,10:27:16,185.57,0.0,185.57,Vitoria-Gasteiz
,2025-01-23,19:00:31,296.21,0.0,296.21,Bilbao
50345830A,2025-09-10,20:52:57,273.95,0.0,273.95,Vitoria-Gasteiz
95654241R,2025-12-05,14:07:45,350.66,0.0,350.66,Bilbao
68824293J,2025-05-04,08:45:04,212.06,12.16,199.9,Donostia
89868970N,2025-12-12,13:12:48,146.85,16.16,130.69,Bilbao
,2025-02-07,20:12:32,372.29,0.0,372.29,Donostia
,2025-07-27,12:42:20,413.16,0.0,413.16,Bilbao
,2025-03-28,10:00:27,397.83,0.0,397.83,Vitoria-Gasteiz
17701858T,2025-10-18,16:23:17,107.8,0.0,107.8,Donostia
26293233R,2025-08-03,13:03:40,281.91,35.7,246.21,Donostia
,2025-07-10,15:47:41,32.85,0.0,32.85,Bilbao
56577629K,2025-01-15,19:15:15,47.23,0.0,47.23,Bilbao
70050383L,2025-06-25,14:56:24,268.26,0.0,268.26,Bilbao
22794576N,2025-09-25,10:49:24,226.95,44.08,182.87,Vitoria-Gasteiz
,2025-01-08,19:13:45,425.35,0.0,425.35,Vitoria-Gasteiz
,2025-03-12,14:43:21,494.34,0.0,494.34,Vitoria-Gasteiz
,2025-04-19,13:33:53,71.55,0.0,71.55,Bilbao
15631445R,2025-01-06,10:10:22,485.18,80.97,404.21,Bilbao
18095717F,2025-03-17,14:15:59,10.93,0.0,10.93,Donostia
66886916H,2025-07-26,13:04:35,241.67,0.0,241.67,Donostia
82596306V,2025-10-08,12:08:32,281.87,0.0,281.87,Vitoria-Gasteiz
21779027M,2025-11-14,14:37:37,493.69,0.0,493.69,Vitoria-Gasteiz
,2025-01-01,16:23:00,70.01,0.0,70.01,Donostia
,2025-02-25,20:43:50,415.49,0.0,415.49,Vitoria-Gasteiz
,2025-07-17,10:13:29,497.77,0.0,497.77,Donostia
16556633Z,2025-08-22,10:01:30,422.99,0.0,422.99,Vitoria-Gasteiz
,2025-06-09,20:28:12,46.27,0.0,46.27,Donostia
59527835V,2025-06-13,13:18:45,381.6,0.0,381.6,Bilbao
60068604X,2025-03-02,20:04:04,410.97,0.0,410.97,Donostia
,2025-01-05,18:36:09,91.48,0.0,91.48,Vitoria-Gasteiz
81254043B,2025-07-06,13:09:46,398.01,79.05,318.96,Bilbao
,2025-03-11,10:42:09,446.55,0.0,446.55,Vitoria-Gasteiz
,2025-09-11,16:55:35,264.76,0.0,264.76,Vitoria-Gasteiz
32848299K,2025-07-25,20:41:36,378.18,0.0,378.18,Vitoria-Gasteiz
,2025-02-11,20:56:48,320.28,0.0,320.28,Bilbao
,2025-11-16,08:39:56,5.98,0.0,5.98,Bilbao
,2025-05-29,13:48:36,425.5,0.0,425.5,Vitoria-Gasteiz
81556634Z,2025-11-25,19:15:13,379.97,0.0,379.97,Vitoria-Gasteiz
59739569J,2025-05-21,14:20:02,133.86,0.0,133.86,Bilbao
,2025-04-28,16:46:37,22.27,0.0,22.27,Bilbao
,2025-08-18,17:05:38,447.19,0.0,447.19,Donostia
,2025-11-03,09:19:38,194.87,0.0,194.87,Donostia
,2025-05-13,19:44:13,381.26,0.0,381.26,Bilbao
53954158E,2025-05-05,09:48:17,173.67,0.0,173.67,Bilbao
,2025-06-20,19:14:39,276.69,0.0,276.69,Vitoria-Gasteiz
25299484J,2025-03-16,11:22:44,57.46,0.0,57.46,Vitoria-Gasteiz
,2025-07-23,17:51:50,347.61,0.0,347.61,Donostia
71280670J,2025-04-15,14:18:25,424.95,0.0,424.95,Vitoria-Gasteiz
47370550A,2025-10-20,13:28:10,491.62,0.0,491.62,Bilbao
,2025-12-18,15:41:14,485.8,0.0,485.8,Donostia
,2025-05-31,15:09:59,409.77,0.0,409.77,Vitoria-Gasteiz
,2025-06-11,19:54:16,391.48,0.0,391.48,Vitoria-Gasteiz
63044167V,2025-06-16,13:18:53,409.88,0.0,409.88,Bilbao
56355929H,2025-10-23,18:32:43,121.02,0.0,121.02,Bilbao
,2025-01-17,17:02:30,185.85,0.0,185.85,Vitoria-Gasteiz
39266506D,2025-02-04,20:29:45,188.93,0.0,188.93,Vitoria-Gasteiz
,2025-04-07,12:03:35,16.26,0.0,16.26,Donostia
71781157C,2025-06-24,20:43:43,404.69,0.0,404.69,Donostia
76107820S,2025-01-05,13:01:33,321.14,0.0,321.14,Donostia
47756167W,2025-01-05,08:39:30,233.12,0.0,233.12,Vitoria-Gasteiz
,2025-08-14,16:16:06,164.6,0.0,164.6,Vitoria-Gasteiz
58783863A,2025-02-17,14:27:57,153.61,0.0,153.61,Donostia
,2025-11-11,19:54:19,406.05,0.0,406.05,Vitoria-Gasteiz
,2025-01-18,19:15:44,108.24,0.0,108.24,Donostia
,2025-07-24,19:25:05,265.56,0.0,265.56,Vitoria-Gasteiz
36703940B,2025-07-20,13:16:54,39.08,0.0,39.08,Bilbao
,2025-05-17,18:18:56,220.96,0.0,220.96,Donostia
,2025-05-14,19:02:59,421.64,0.0,421.64,Donostia
,2025-09-15,20:57:54,323.29,0.0,323.29,Vitoria-Gasteiz
22388609H,2025-04-15,14:59:08,460.93,0.0,460.93,Bilbao
,2025-11-18,16:31:58,363.05,0.0,363.05,Donostia
10923226C,2025-09-03,19:26:55,275.88,0.0,275.88,Vitoria-Gasteiz
,2025-04-09,13:08:12,343.5,0.0,343.5,Bilbao
38738257R,2025-12-17,14:10:11,285.25,0.0,285.25,Bilbao
64984475E,2025-05-02,19:19:56,409.66,0.0,409.66,Bilbao
69640430H,2025-11-28,09:38:35,91.32,0.0,91.32,Donostia
29624143M,2025-06-29,12:14:59,108.97,0.0,108.97,Vitoria-Gasteiz
29593110E,2025-11-06,20:46:32,154.44,0.0,154.44,Bilbao
,2025-02-18,20:09:52,356.35,0.0,356.35,Bilbao
54725820B,2025-10-17,20:21:37,154.95,0.0,154.95,Vitoria-Gasteiz
,2025-05-13,20:41:44,277.24,0.0,277.24,Vitoria-Gasteiz
92580730A,2025-06-07,14:41:18,196.89,21.5,175.39,Bilbao
24431475R,2025-10-12,13:47:34,374.0,0.0,374.0,Bilbao
21209627Q,2025-12-20,11:51:49,51.09,0.0,51.09,Donostia
85763534F,2025-10-27,14:03:23,159.43,0.0,159.43,Vitoria-Gasteiz
,2025-06-01,11:18:44,385.46,0.0,385.46,Vitoria-Gasteiz
61271281V,2025-07-02,20:06:56,60.8,8.02,52.78,Vitoria-Gasteiz
57804926S,2025-11-01,08:39:41,167.64,0.0,167.64,Bilbao
95543481D,2025-06-06,14:29:37,71.75,0.0,71.75,Bilbao
20887048N,2025-03-01,14:05:12,35.64,0.0,35.64,Bilbao
76390745V,2025-12-19,14:45:53,36.71,3.77,32.94,Bilbao
,2025-01-18,16:30:32,287.1,0.0,287.1,Bilbao
92707152V,2025-06-27,08:31:18,289.76,0.0,289.76,Vitoria-Gasteiz
20957009F,2025-05-16,14:24:04,396.97,27.94,369.03,Donostia
49642023L,2025-08-19,20:06:00,438.19,56.67,381.52,Bilbao
83039764N,2025-03-06,16:26:20,260.83,48.13,212.7,Bilbao
,2025-11-28,15:24:11,161.97,0.0,161.97,Vitoria-Gasteiz
22140587M,2025-07-16,08:58:50,483.67,0.0,483.67,Vitoria-Gasteiz
95214955S,2025-11-15,19:20:04,229.64,0.0,229.64,Donostia
21800499H,2025-12-04,14:18:45,311.81,48.42,263.39,Donostia
,2025-02-10,19:13:48,278.75,0.0,278.75,Donostia
